"STAID","STANAME","CN","LAT","LON","HGHT","minyear","maxyear"
2484,"NIJKERK                                     ","NL","+52:13:59","+005:28:00",0,1867,2025
2485,"NOORBEEK                                    ","NL","+50:46:00","+005:49:00",160,1950,2025
2486,"NOORDGOUWE                                  ","NL","+51:42:00","+003:58:00",0,1877,2025
2487,"OBDAM                                       ","NL","+52:40:59","+004:52:59",-2,1866,2025
2488,"OIRSCHOT                                    ","NL","+51:30:00","+005:19:59",16,1950,2025
2489,"OLDEBROEK                                   ","NL","+52:22:59","+005:55:00",60,1950,2025
2490,"OLDEHOLTPADE                                ","NL","+52:54:00","+006:03:00",2,1885,2025
2491,"ONNEN                                       ","NL","+53:09:00","+006:40:00",0,1846,2025
2492,"OOST MAARLAND                               ","NL","+50:48:00","+005:43:00",50,1985,2025
2493,"OOST VLIELAND                               ","NL","+53:18:00","+005:04:59",6,1875,2025
2494,"OOSTERBEEK                                  ","NL","+52:01:00","+005:49:59",21,1867,2025
2495,"OSS                                         ","NL","+51:46:00","+005:31:59",4,1950,2025
2496,"OUDEMIRDUM                                  ","NL","+52:52:00","+005:30:00",0,1879,2025
2497,"OVERVEEN                                    ","NL","+52:24:00","+004:36:00",7,1866,2025
2498,"PURMEREND                                   ","NL","+52:31:00","+004:57:00",-3,1866,2025
2499,"REKKEN                                      ","NL","+52:04:59","+006:43:00",26,1879,2025
2500,"REUVER                                      ","NL","+51:16:59","+006:04:59",27,1873,2025
2501,"RHEEZERVEEN                                 ","NL","+52:34:00","+006:34:00",8,1950,2025
2502,"RILLAND                                     ","NL","+51:25:00","+004:10:59",1,1905,2025
2503,"RITTHEM                                     ","NL","+51:28:00","+003:37:00",0,1854,2025
2504,"ROODESCHOOL                                 ","NL","+53:25:59","+006:46:59",1,1950,2025
2505,"ROUVEEN                                     ","NL","+52:37:00","+006:10:59",0,1934,2025
2506,"RUINERWOLD                                  ","NL","+52:43:00","+006:13:59",1,1934,2025
2507,"SAPPEMEER                                   ","NL","+53:10:00","+006:43:59",0,1846,2025
2508,"SCHAGEN                                     ","NL","+52:46:59","+004:48:00",0,1902,2025
2509,"SCHIERMONNIKOOG                             ","NL","+53:28:59","+006:10:59",1,1950,2025
2510,"SCHINNEN                                    ","NL","+50:55:59","+005:52:00",80,1934,2025
2511,"SCHINVELD                                   ","NL","+50:58:59","+005:58:59",55,1941,2025
2512,"SCHOONEBEEK                                 ","NL","+52:40:59","+006:54:00",13,1950,2025
2513,"SIEBENGEWALD                                ","NL","+51:39:00","+006:04:59",15,1951,2025
2514,"SKRINS                                      ","NL","+53:07:00","+005:39:00",0,1920,2025
